"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"timeDate","timeDate","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4032.109",NA,"R (>= 3.6.0), methods","graphics, utils, stats",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"tinytex","tinytex","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.52",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"tmap","tmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3-4",NA,"R (>= 3.5.0), methods","tmaptools (>= 3.1), sf (>= 0.9-7), stars (>= 0.5-0), units (>=
0.6-1), grid, RColorBrewer, viridisLite, classInt (>= 0.4-3),
htmltools, htmlwidgets, widgetframe, leaflet (>= 2.0.2),
leafsync, leafem (>= 0.1), stats, abind, rlang, utils",NA,"rmapshaper, rmarkdown, knitr, png, cartogram, osmdata,
ggplot2, dplyr, tidyr, shiny, testthat, covr, av, gifski, s2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"tmaptools","tmaptools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-1",NA,"R (>= 3.5), methods","sf (>= 0.9.2), lwgeom (>= 0.1-4), stars (>= 0.4-1), units (>=
0.6-1), grid, magrittr, RColorBrewer, viridisLite, stats,
dichromat, XML",NA,"tmap (>= 3.0), rmapshaper, osmdata, OpenStreetMap, raster,
png, shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"toOrdinal","toOrdinal","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-0.0",NA,"R (>= 3.3)","crayon, testthat",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"transformr","transformr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.5",NA,NA,"tweenr, rlang, sf, lpSolve, vctrs","cpp11","covr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"triebeard","triebeard","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.1",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tweenr","tweenr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tzdb","tzdb","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"unifir","unifir","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.4",NA,"R (>= 3.5.0)","glue, methods, proceduralnames, R6, utils",NA,"terrainr, covr, knitr, lintr, pkgdown, rmarkdown, styler,
testthat (>= 3.0.0), terra, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"units","units","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8-5",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"urlchecker","urlchecker","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"urltools","urltools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"usdata","usdata","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.1",NA,"R (>= 2.10)","tibble",NA,"dplyr, ggplot2, maps, lubridate, sf, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"usethis","usethis","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0.0",NA,"R (>= 3.6)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload (>= 1.3.2.1), rmarkdown,
roxygen2 (>= 7.1.2), spelling (>= 1.2), styler (>= 1.2.0),
testthat (>= 3.1.8)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"usmap","usmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.1",NA,"R (>= 3.5.0)","rlang, usmapdata (>= 0.2.2)",NA,"covr, ggplot2 (>= 3.5.0), ggrepel, knitr, proto, rmarkdown,
scales, sf, spelling, testthat (>= 3.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"usmapdata","usmapdata","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.0",NA,"R (>= 3.5.0)","rlang, sf",NA,"covr, dplyr, spelling, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"utf8","utf8","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.4",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"uuid","uuid","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"V8","V8","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.0.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"vapour","vapour","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.10.0",NA,"R (>= 3.3.0)","jsonlite, Rcpp, utils","Rcpp","testthat, knitr, markdown, rmarkdown, spelling",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"vctrs","vctrs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"vegan","vegan","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.6-8",NA,"permute (>= 0.9-0), lattice, R (>= 4.1.0)","MASS, cluster, mgcv",NA,"parallel, tcltk, knitr, markdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"viridis","viridis","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.5",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, httr, mapproj, vdiffr, svglite (>= 1.2.0),
testthat, covr, rmarkdown, maps, terra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"viridisLite","viridisLite","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"vroom","vroom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"waldo","waldo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.3",NA,"R (>= 3.6)","cli, diffobj (>= 0.3.4), glue, methods, rematch2, rlang (>=
1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"webshot","webshot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.5",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"wesanderson","wesanderson","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.7",NA,"R (>= 3.0)",NA,NA,"ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"whisker","whisker","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.1",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"widgetframe","widgetframe","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.1",NA,"R (>= 3.1.0), htmlwidgets,","htmltools, purrr, magrittr, utils, tools",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"withr","withr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0.1",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"wk","wk","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.2",NA,"R (>= 2.10)",NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"xfun","xfun","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.47",NA,"R (>= 3.2.0)","grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, markdown (>= 1.5), knitr (>= 1.47), htmltools,
remotes, pak, rhub, renv, curl, xml2, jsonlite, magick, yaml,
qs, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"XML","XML","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.99-0.17",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"xml2","xml2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"xopen","xopen","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,"R (>= 3.1)","processx",NA,"ps, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"xtable","xtable","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"xts","xts","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.14.0",NA,"R (>= 3.6.0), zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"yaImpute","yaImpute","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-34",NA,"R (>= 3.0.0)","grDevices, graphics, stats, utils",NA,"vegan, ccaPP, randomForest, gam, fastICA, parallel, gower",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"yaml","yaml","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3.10",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"yulab.utils","yulab.utils","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.7",NA,NA,"cli, digest, fs, rlang, tools, utils",NA,"httr2, jsonlite, openssl, rappdirs",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.3"
"zip","zip","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3.1",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"zoo","zoo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8-12",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"base","base","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,"methods",NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"boot.1","boot","C:/Program Files/R/R-4.3.1/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.3.1"
"class.1","class","C:/Program Files/R/R-4.3.1/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"cluster.1","cluster","C:/Program Files/R/R-4.3.1/library","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"codetools.1","codetools","C:/Program Files/R/R-4.3.1/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"compiler","compiler","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"datasets","datasets","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"foreign.1","foreign","C:/Program Files/R/R-4.3.1/library","0.8-84","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"graphics","graphics","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"grDevices",NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"grDevices","grDevices","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"grid","grid","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"KernSmooth.1","KernSmooth","C:/Program Files/R/R-4.3.1/library","2.23-21","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.3.1"
"lattice.1","lattice","C:/Program Files/R/R-4.3.1/library","0.21-8","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"MASS.1","MASS","C:/Program Files/R/R-4.3.1/library","7.3-60","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"Matrix.1","Matrix","C:/Program Files/R/R-4.3.1/library","1.5-4.1","recommended","R (>= 3.5.0), methods","graphics, grid, lattice, stats, utils",NA,"MASS, expm","MatrixModels, SparseM, graph, igraph, maptools, sfsmisc, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.3.1"
"methods","methods","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"mgcv.1","mgcv","C:/Program Files/R/R-4.3.1/library","1.8-42","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"nlme.1","nlme","C:/Program Files/R/R-4.3.1/library","3.1-162","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"nnet.1","nnet","C:/Program Files/R/R-4.3.1/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"parallel","parallel","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"rpart.1","rpart","C:/Program Files/R/R-4.3.1/library","4.1.19","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"spatial.1","spatial","C:/Program Files/R/R-4.3.1/library","7.3-16","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"splines","splines","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"stats","stats","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"stats4","stats4","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"survival.1","survival","C:/Program Files/R/R-4.3.1/library","3.5-5","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"tcltk","tcltk","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,"utils",NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"tools","tools","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun,
mathjaxr, V8",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"translations","translations","C:/Program Files/R/R-4.3.1/library","4.3.1",NA,NA,NA,NA,NA,NA,"Part of R 4.3.1",NA,NA,NA,NA,NA,"4.3.1"
"utils","utils","C:/Program Files/R/R-4.3.1/library","4.3.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
